feature,source_table,transformation,temporal
discharge_location,admissions,raw passthrough,INDEX
discharge_location_te,admissions,target-encoding of discharge_location,INDEX
freq_x_recency,admissions,admission frequency x recency (interaction),PRIOR
insurance,admissions,raw passthrough,RAW
log_los_days,admissions,log1p of los_days,INDEX
log_prior_admits_6m,admissions,log prior-6m admissions,PRIOR
log_prior_readmit_count,admissions,log prior-readmission count,PRIOR
log_time_since_discharge,admissions,log days since previous discharge,PRIOR
los_per_prior_admit,admissions,LOS per prior admission (derived),PRIOR
los_trend_180d,admissions,LOS trend over prior 180d,PRIOR
los_trend_x_prior_6m,admissions,LOS-trend x prior-6m (interaction),PRIOR
los_trend_x_prior_admits,admissions,LOS-trend x prior-admits (interaction),PRIOR
nonenglish_x_prior_admits,admissions,non-English x prior admits (interaction),PRIOR
prior_admissions_6m,admissions,count prior admissions in 180d,PRIOR
prior_admissions_all,admissions,count all prior admissions,PRIOR
prior_admits_6m_sq,admissions,prior-6m admissions squared (polynomial),PRIOR
prior_mean_los_6m,admissions,mean LOS of prior 6m admissions,PRIOR
prior_readmission_count,admissions,prior readmissions 365d (a2.admit < a1.admit),PRIOR
race_te,admissions,target-encoding of race,RAW
time_since_last_discharge,admissions,days since previous discharge (shift(1)),PRIOR
los_x_n_diagnoses,admissions + diagnoses_icd,LOS x diagnosis count (interaction),INDEX
prior_admits_x_comorbidity,admissions + diagnoses_icd,prior_admissions_all x cci_score_total (interaction),PRIOR
prior_admits_x_age,admissions + patients,prior admits x age (interaction),PRIOR
comorbidity_pc4,diagnoses_icd,4th PCA component of comorbidity flags,INDEX
primary_dx_chapter,diagnoses_icd,ICD-10 chapter grouping of primary dx,INDEX
primary_dx_chapter_te,diagnoses_icd,target-encoding of dx chapter,INDEX
anemia_x_prior_admits,diagnoses_icd + admissions,anemia flag x prior admits (interaction),PRIOR
severity_x_readmit,diagnoses_icd + admissions,severity x is_readmission_90d (interaction),PRIOR
clinical_complexity,diagnoses_icd + poe,composite (dx count + order diversity),INDEX
drg_code,drgcodes,raw passthrough (categorical),INDEX
drg_code_te,drgcodes,target-encoding of drg_code,INDEX
last_drg_dispo,drgcodes,last DRG disposition (categorical),INDEX
last_drg_dispo_te,drgcodes,target-encoding of last_drg_dispo,INDEX
n_emar_details,emar_detail,count of eMAR administration rows (aggregation),INDEX
max_unit_los_days,icustays,max care-unit LOS days (aggregation),INDEX
iv_admin_rate,inputevents,IV administration rate (aggregation),INDEX
bilirubin_max,labevents,max bilirubin (aggregation),INDEX
bun_creatinine_ratio,labevents,BUN/creatinine ratio (derived),INDEX
creatinine_x_bun,labevents,creatinine_last x bun_last (interaction),INDEX
log_n_labs,labevents,log count of lab tests (aggregation),INDEX
severity_x_lab_abnormal,labevents,severity x lab-abnormal rate (interaction),INDEX
sodium_last,labevents,last sodium value (aggregation),INDEX
albumin_x_los,labevents + admissions,albumin_last x los_days (interaction),INDEX
renal_risk_x_age,labevents + patients,renal-risk x age (interaction),INDEX
bmi_last,omr,last recorded BMI (aggregation),RAW/outpatient
bp_diastolic_outpatient,omr,outpatient diastolic BP (aggregation),RAW/outpatient
new_med_rate_48h,pharmacy,new-medication rate first 48h (aggregation),INDEX
high_risk_meds_x_age,pharmacy + patients,high-risk-med count x age (interaction),INDEX
n_meds_x_age,pharmacy + patients,n_discharge_drugs x age_at_admit (interaction),INDEX
discharge_surge,poe,order surge near discharge (aggregation),INDEX
late_order_rate,poe,rate of late orders (aggregation),INDEX
n_order_types,poe,count of distinct order types (aggregation),INDEX
orders_first_24h,poe,provider orders first 24h (aggregation),INDEX
orders_last_6h,poe,provider orders last 6h pre-discharge (aggregation),INDEX
provider_fragmentation_x_los,poe + admissions,n_distinct_providers x los_days (interaction),INDEX
med_orders_ratio,poe + pharmacy,med-order ratio (aggregation),INDEX
rapid_tfr_x_readmit,services + admissions,service-changes x is_readmission_90d (interaction),PRIOR
