feature_name,clinical_domain,source_table,source_column,transformation,measurement_window,timestamp_used,available_by_discharge,billing_derived,postdischarge_or_forward_looking,missingness_overall,missingness_by_partition,missingness_by_race_group,reason_for_inclusion_or_exclusion
admission_type,Admission / stay context,admissions/patients,admission_type,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
admission_location,Admission / stay context,admissions/patients,admission_location,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
discharge_location,Admission / stay context,admissions/patients,discharge_location,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
age_at_admit,Demographics,admissions/patients,age_at_admit,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
gender,Demographics,admissions/patients,gender,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
cci_mi,Diagnosis / coding,diagnoses_icd,cci_mi,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_chf,Diagnosis / coding,diagnoses_icd,cci_chf,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_diab,Diagnosis / coding,diagnoses_icd,cci_diab,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_copd,Diagnosis / coding,diagnoses_icd,cci_copd,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_cvd,Diagnosis / coding,diagnoses_icd,cci_cvd,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_renal,Diagnosis / coding,diagnoses_icd,cci_renal,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cci_cancer,Diagnosis / coding,diagnoses_icd,cci_cancer,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
drg_code,Diagnosis / coding,drgcodes,drg_code,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
los_days,Admission / stay context,admissions/patients,los_days,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
discharge_hour,Admission / stay context,admissions/patients,discharge_hour,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
weekend_discharge,Admission / stay context,admissions/patients,weekend_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
distinct_drugs,Medications,pharmacy/emar,distinct_drugs,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
polypharmacy_flag,Medications,pharmacy/emar,polypharmacy_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_admissions_6m,Prior utilization,admissions/patients,prior_admissions_6m,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_mean_los_6m,Prior utilization,admissions/patients,prior_mean_los_6m,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_any_ed_6m,Prior utilization,admissions/patients,prior_any_ed_6m,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
last_drg_dispo,Laboratory / physiology,drgcodes,last_drg_dispo,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
med_entropy_90d,Medications,pharmacy/emar,med_entropy_90d,see provenance audit / repo,prior 90d,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
